feature_set,model,n_train,train_seconds,inference_seconds,best_params,cv_best_roc_auc,accuracy,f1,roc_auc,pr_auc
clusters,linear_svm,160000,2.060390124999685,0.0015976670110831,{'C': 10.0},0.6851355740198205,0.640975,0.6880010428208303,0.6859784890977949,0.6850254341609239
clusters,knn,160000,20.350631999986945,5.118323625007179,{'n_neighbors': 31},0.7090230302727706,0.657275,0.7033775450591774,0.7156381661916055,0.7147069304009352
clusters,decision_tree,160000,47.26284487500379,0.0060139580018585,"{'max_depth': 12, 'min_samples_leaf': 50}",0.7558301643661455,0.69835,0.7182026250642253,0.7634464896352761,0.7752028869474312
clusters,random_forest,160000,286.51310108299367,0.5249199580139248,"{'max_depth': None, 'min_samples_leaf': 5}",0.8024374787559739,0.7256,0.7438625968449547,0.8043504684555656,0.8198275242305124
clusters,xgboost,160000,36.47210516600171,0.0555410420056432,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400}",0.8131471189503273,0.7358,0.7519481738803868,0.8165742321003688,0.8307606895149855
clusters,rbf_svm,160000,8153.15980075,227.09508966600697,"{'C': 10.0, 'gamma': 0.01}",0.7670839006780046,0.7031,0.7371170533026385,0.7707607857831638,0.7729959038644064
