feature_set,model,n_train,train_seconds,inference_seconds,best_params,cv_best_roc_auc,accuracy,f1,roc_auc,pr_auc
raw,linear_svm,160000,1.5448854170026607,0.0008569589990656823,{'C': 10.0},0.6817659191838542,0.640825,0.6870275569110119,0.6822743973387794,0.6801854249695838
raw,rbf_svm,20000,510.0655638340031,30.90407616700395,"{'C': 10.0, 'gamma': 0.01}",0.7301749875404541,0.680175,0.7174378796245169,0.7390817690297709,0.7378656779534369
raw,knn,160000,18.789364082993416,4.977152583000134,{'n_neighbors': 31},0.7091802258725339,0.6571,0.703360872010035,0.7155378155059504,0.7149597880890781
raw,decision_tree,160000,47.15264487499371,0.005263041995931417,"{'max_depth': 12, 'min_samples_leaf': 50}",0.7559258172534499,0.698325,0.7181858520750134,0.7633671930055239,0.7752246616546741
raw,random_forest,160000,256.22057316599967,0.405969624996942,"{'max_depth': None, 'min_samples_leaf': 5}",0.8029448812382011,0.72665,0.7446520317608594,0.8051769978451226,0.8204941487084174
raw,gradient_boosting,160000,2654.3807528749967,0.19701250000071013,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8063227754218665,0.729325,0.7462798490849014,0.8077857720655479,0.8224675759807663
